 Cluster             RA        DEC       l       b       Rsun  ERsun    R_GC   <RV>   ERV        mualpha        mu_delta  rhopmrade   X      DX      Y      DY      Z      DZ        U      DU        V       DV         W      DW       RPERI           RAPO\
  Name                                                      [kpc]       [kpc] [km/s] [km/s]     [mas/yr]        [mas/yr]            [kpc]   [kpc]  [kpc]   [kpc]  [kpc]  [kpc]    [km/s]  [km/s]    [km/s]  [km/s]    [km/s]  [km/s]     [kpc]          [kpc]\
NGC_6205        250.421814  36.459862  59.007  40.913    7.42   0.08    8.64 -244.90  0.30   -3.149  0.023   -2.574  0.023  -0.01    5.29   0.03    4.81   0.05    4.86   0.05    30.42    0.76    -15.23    0.64    -77.46    0.63    1.50  0.02     8.72   0.05\
NGC_6229        251.745249  47.527796  73.639  40.306   30.11   0.47   29.45 -137.89  0.71   -1.171  0.026   -0.467  0.027   0.01    1.71   0.10   22.03   0.34   19.47   0.30    -7.81    3.73     29.23    2.62     47.44    2.89    1.27  0.23    30.37   0.44\
NGC_6218        251.809067  -1.948528  15.715  26.313    5.11   0.05    4.57  -41.67  0.14   -0.191  0.024   -6.802  0.024   0.01    3.77   0.04    1.24   0.01    2.26   0.02   -49.04    0.32    114.81    0.57    -85.33    0.52    2.15  0.02     4.71   0.01\
FSR_1735        253.044174 -47.058056 339.188  -1.853    9.08   0.53    3.25  -69.85  4.88   -4.439  0.054   -1.534  0.048  -0.05   -0.31   0.49   -3.23   0.19   -0.29   0.02   112.21    4.59    114.69    2.65    115.19    2.21    1.14  0.14     4.09   0.38\
NGC_6235        253.355676 -22.177447 358.918  13.518   11.94   0.38    4.42  126.68  0.33   -3.931  0.027   -7.587  0.027  -0.01   -3.43   0.37   -0.22   0.01    2.79   0.09  -144.49    0.48   -226.85    1.51    -43.18    1.48    3.49  0.38     7.47   1.14\
NGC_6254        254.287720  -4.100306  15.137  23.076    5.07   0.06    4.35   74.21  0.23   -4.758  0.024   -6.597  0.024  -0.02    3.68   0.06    1.22   0.02    1.99   0.03  -122.79    0.33     80.54    0.55     48.77    0.53    1.92  0.02     4.59   0.04\
NGC_6256        254.886107 -37.120968 347.792   3.307    7.24   0.29    1.94  -99.75  0.66   -3.715  0.031   -1.637  0.030  -0.00    1.11   0.29   -1.53   0.06    0.42   0.02   115.93    0.68    153.98    1.04     67.14    1.06    1.40  0.26     2.17   0.06\
Pal_15          254.962600  -0.539000  18.849  24.337   44.10   1.14   37.28   72.27  1.74   -0.592  0.037   -0.901  0.034   0.02  -29.85   0.98   12.98   0.33   18.17   0.47  -141.52    3.95     58.91    7.03     47.82    6.87    2.03  0.60    49.76   1.60\
NGC_6266        255.304153 -30.113390 353.575   7.318    6.41   0.10    2.15  -73.98  0.67   -4.978  0.026   -2.947  0.026   0.01    1.86   0.10   -0.71   0.01    0.82   0.01    88.42    0.67     99.48    0.80     63.38    0.80    0.86  0.05     2.42   0.06\
NGC_6273        255.657486 -26.267971 356.869   9.382    8.34   0.16    1.43  145.54  0.59   -3.249  0.026    1.660  0.025   0.00   -0.04   0.16   -0.45   0.01    1.36   0.03  -130.01    0.60    221.69    1.00    171.36    1.00    1.21  0.05     3.28   0.10\
NGC_6284        256.120114 -24.764799 358.347   9.939   14.21   0.42    6.32   28.62  0.73   -3.200  0.029   -2.002  0.028  -0.00   -5.81   0.41   -0.40   0.01    2.45   0.07   -16.21    0.79     15.89    1.89    105.03    1.89    0.99  0.05     6.43   0.42\
NGC_6287        256.288904 -22.708005   0.132  11.023    7.93   0.37    1.57 -294.74  1.65   -5.010  0.029   -1.883  0.028   0.01    0.40   0.36    0.02   0.00    1.52   0.07   299.10    1.63     83.94    1.06     60.15    1.10    0.88  0.08     4.16   0.13\
NGC_6293        257.542500 -26.582083 357.620   7.834    9.19   0.28    1.60 -143.66  0.39    0.870  0.028   -4.326  0.028  -0.01   -0.92   0.28   -0.38   0.01    1.25   0.04   117.36    0.43    126.51    1.21   -151.82    1.20    0.47  0.15     2.74   0.38\
NGC_6304        258.634399 -29.462028 355.826   5.376    6.15   0.15    2.19 -108.62  0.39   -4.070  0.029   -1.088  0.028   0.01    2.07   0.15   -0.45   0.01    0.58   0.01   110.97    0.40    166.29    0.83     75.12    0.82    1.55  0.12     2.69   0.11\
NGC_6316        259.155417 -28.140111 357.175   5.764   11.15   0.39    3.16   99.65  0.84   -4.969  0.031   -4.592  0.030   0.01   -2.90   0.38   -0.55   0.02    1.12   0.04   -85.29    0.85   -101.38    1.61     92.77    1.62    0.90  0.20     3.92   0.46\
NGC_6341        259.280762  43.135944  68.338  34.859    8.50   0.07    9.85 -120.55  0.27   -4.935  0.024   -0.625  0.024  -0.00    5.60   0.02    6.48   0.05    4.86   0.04    23.15    0.92     39.51    0.66     98.32    0.82    1.03  0.04    10.60   0.06\
NGC_6325        259.496327 -23.767677   0.971   8.003    7.53   0.32    1.28   29.54  0.58   -8.289  0.030   -9.000  0.029   0.02    0.72   0.32    0.13   0.01    1.05   0.04   -38.96    0.59   -179.80    1.06     73.37    1.06    1.04  0.03     1.31   0.13\
NGC_6333        259.799086 -18.516257   5.544  10.705    8.30   0.14    1.73  310.75  2.12   -2.180  0.026   -3.222  0.026   0.02    0.06   0.14    0.79   0.01    1.54   0.03  -329.54    2.08    129.38    1.04     66.37    1.09    1.22  0.03     6.16   0.12\
NGC_6342        260.291573 -19.587659   4.898   9.725    8.01   0.23    1.54  115.75  0.90   -2.903  0.027   -7.116  0.026  -0.00    0.31   0.23    0.67   0.02    1.35   0.04  -158.85    0.90    -22.39    1.01    -29.65    1.02    0.83  0.09     1.67   0.05\
NGC_6356        260.895804 -17.813027   6.724  10.220   15.66   0.92    7.86   48.18  1.82   -3.750  0.026   -3.392  0.026  -0.00   -7.12   0.90    1.80   0.11    2.78   0.16   -83.69    1.81   -104.45    1.95    110.59    1.95    3.53  0.94     8.97   1.03\
NGC_6355        260.993533 -26.352827 359.585   5.429    8.65   0.22    0.93 -195.85  0.55   -4.738  0.031   -0.572  0.030   0.02   -0.44   0.22   -0.06   0.00    0.82   0.02   198.81    0.56    125.75    1.24    136.26    1.27    0.79  0.08     1.48   0.24\
NGC_6352        261.371277 -48.422169 341.421  -7.166    5.54   0.07    3.51 -125.63  1.01   -2.158  0.025   -4.447  0.025  -0.01    2.96   0.07   -1.75   0.02   -0.69   0.01   150.09    0.97    170.59    0.70      6.02    0.66    3.08  0.02     3.93   0.07\
